trigram,frequency,percentage
Har,5497,0.0006039901366224151
Bor,5490,0.0006032210023753063
Anl,5479,0.0006020123628441353
Das,5467,0.0006006938469919489
Dat,5465,0.0006004740943499179
kün,5463,0.0006002543417078867
Sal,5449,0.0005987160732136692
gin,5445,0.0005982765679296071
Bed,5438,0.0005975074336824983
erz,5416,0.0005950901546201565
Ukr,5410,0.0005944308966940633
Ham,5408,0.0005942111440520321
Ost,5403,0.0005936617624469544
End,5387,0.0005919037413107058
Pos,5373,0.0005903654728164884
Feb,5373,0.0005903654728164884
sor,5370,0.0005900358438534417
Net,5321,0.0005846519041236803
Der,5320,0.0005845420278026648
Ums,5316,0.0005841025225186026
pas,5277,0.0005798173459989966
Joh,5251,0.0005769605616525927
Rau,5230,0.0005746531589112663
Dis,5221,0.0005736642720221265
Pfl,5220,0.0005735543957011109
Run,5217,0.0005732247667380643
Jug,5211,0.0005725655088119711
zeh,5201,0.0005714667456018157
Tru,5175,0.0005686099612554117
hoc,5174,0.0005685000849343961
zul,5168,0.0005678408270083029
Rus,5167,0.0005677309506872874
öff,5160,0.0005669618164401786
Tat,5159,0.000566851940119163
bin,5158,0.0005667420637981475
Rob,5135,0.0005642149084147902
Sto,5127,0.0005633358978466658
zie,5124,0.0005630062688836193
Fes,5120,0.0005625667635995571
sti,5099,0.0005602593608582308
unb,5069,0.0005569630712277646
kau,5058,0.0005557544316965937
Öst,5050,0.0005548754211284694
Ind,5034,0.0005531173999922208
Rah,5027,0.000552348265745112
zah,5013,0.0005508099972508945
Des,5012,0.000550700120929879
leb,5002,0.0005496013577197236
arb,4993,0.0005486124708305837
gar,4970,0.0005460853154472263
Hoc,4969,0.0005459754391262107
mir,4965,0.0005455359338421486
str,4954,0.0005443272943109777
sec,4926,0.0005412507573225426
Bal,4920,0.0005405914993964494
sel,4920,0.0005405914993964494
län,4892,0.0005375149624080143
auß,4871,0.000535207559666688
Wet,4869,0.000534987807024657
beh,4865,0.0005345483017405948
Unf,4858,0.0005337791674934859
Tho,4855,0.0005334495385304394
Mor,4847,0.000532570527962315
dir,4847,0.000532570527962315
Wäh,4821,0.000529713743615911
Kos,4820,0.0005296038672948955
pol,4808,0.0005282853514427091
han,4803,0.0005277359698376314
Kul,4779,0.0005250989381332585
Mot,4771,0.0005242199275651341
Hof,4769,0.0005240001749231031
jun,4758,0.0005227915353919322
Ben,4751,0.0005220224011448233
gil,4746,0.0005214730195397456
Pau,4746,0.0005214730195397456
App,4734,0.0005201545036875592
Car,4725,0.0005191656167984193
gan,4725,0.0005191656167984193
gez,4702,0.000516638461415062
Höh,4671,0.0005132322954635803
kna,4665,0.000512573037537487
Fac,4656,0.0005115841506483472
Maß,4646,0.0005104853874381919
SPD,4630,0.0005087273663019433
Zum,4627,0.0005083977373388966
Tri,4617,0.0005072989741287412
Rad,4615,0.0005070792214867102
Lea,4602,0.0005056508293135081
kri,4602,0.0005056508293135081
bie,4596,0.0005049915713874149
dah,4589,0.0005042224371403061
stä,4585,0.000503782931856244
fol,4583,0.0005035631792142129
tre,4583,0.0005035631792142129
Kol,4575,0.0005026841686460886
Kir,4559,0.00050092614750984
Ale,4544,0.0004992780026946069
Hel,4531,0.0004978496105214049
Bea,4510,0.0004955422077800786
New,4507,0.0004952125788170319
Von,4500,0.0004944434445699232
end,4455,0.000489499010124224
Süd,4448,0.0004887298758771152
Sin,4428,0.00048653234945680445
USA,4426,0.00048631259681477336
Mac,4414,0.0004849940809625869
Luf,4395,0.0004829064308632917
Ter,4375,0.0004807089044429809
Buc,4368,0.0004799397701958721
Tro,4363,0.0004793903885907944
Zuk,4360,0.0004790607596277478
zud,4352,0.0004781817490596235
pos,4342,0.0004770829858494681
zuv,4340,0.00047686323320743704
Bas,4325,0.00047521508839220395
läs,4313,0.00047389657254001753
Inv,4307,0.00047323731461392426
kos,4281,0.0004703805302675203
Tec,4270,0.00046917189073634937
Eis,4267,0.0004688422617733027
Erg,4266,0.0004687323854522872
Kil,4250,0.0004669743643160386
Zen,4227,0.0004644472089326812
Vid,4219,0.0004635681983645569
Hie,4212,0.0004627990641174481
Kie,4212,0.0004627990641174481
ums,4205,0.00046202992987033934
für,4194,0.00046082129033916844
Bru,4183,0.0004596126508079975
möc,4168,0.00045796450599276445
Rea,4157,0.0004567558664615935
zum,4152,0.0004562064848565158
dan,4148,0.00045576697957245367
Eng,4143,0.000455217597967376
Dol,4143,0.000455217597967376
Bri,4108,0.0004513719267318321
erm,4106,0.000451152174089801
Imm,4100,0.0004504929161637078
Com,4099,0.00045038303984269224
tun,4094,0.0004498336582376146
Rat,4071,0.00044730650285425717
umg,4070,0.00044719662653324165
feh,4060,0.00044609786332308626
Nun,4056,0.00044565835803902414
oft,4053,0.0004453287290759775
Erd,4041,0.00044401021322379105
Män,4040,0.0004439003369027755
Mög,4040,0.0004439003369027755
fal,4039,0.00044379046058175996
Stä,4035,0.0004433509552976978
Füh,4033,0.00044313120265566675
Abe,4021,0.0004418126868034803
Fel,4000,0.000439505284062154
Gol,3998,0.0004392855314201229
Zud,3996,0.0004390657787780918
dam,3975,0.0004367583760367655
bli,3972,0.0004364287470737189
Rot,3965,0.0004356596128266101
Hun,3949,0.0004339015916903615
man,3947,0.00043368183904833043
Kön,3935,0.00043236332319614395
Geh,3915,0.0004301657967758332
Gar,3896,0.00042807814667653797
Amt,3889,0.0004273090124294292
Jet,3881,0.0004264300018613049
ach,3881,0.0004264300018613049
Fir,3867,0.0004248917333670873
min,3853,0.0004233534648728698
eng,3843,0.0004222547016627144
leg,3842,0.0004221448253416989
Kap,3835,0.0004213756910945901
Arm,3819,0.00041961766995834147
Tod,3811,0.00041873865939021717
Ann,3800,0.00041753001985904626
Ret,3793,0.0004167608856119375
erg,3788,0.0004162115040068598
Tel,3786,0.0004159917513648287
inf,3784,0.00041577199872279766
Kop,3775,0.0004147831118336578
Erm,3750,0.0004120362038082693
neb,3744,0.0004113769458821761
Sup,3744,0.0004113769458821761
Flü,3738,0.0004107176879560829
Fäl,3736,0.0004104979353140518
Neb,3733,0.0004101683063510052
Ide,3732,0.00041005843002998963
sag,3726,0.0004093991721038964
wis,3719,0.00040863003785678763
Mut,3705,0.0004070917693625701
Mer,3685,0.00040489424294225934
rea,3669,0.00040313622180601074
bee,3661,0.0004022572112378864
Nut,3655,0.0004015979533117932
fra,3637,0.0003996201795335135
Erk,3635,0.0003994004268914824
Anw,3625,0.000398301663681327
Stü,3611,0.0003967633951871095
Pas,3608,0.0003964337662240629
Tou,3593,0.0003947856214088298
Blu,3589,0.00039434611612476763
Tem,3589,0.00039434611612476763
Ros,3586,0.00039401648716172103
Gla,3586,0.00039401648716172103
nut,3576,0.00039291772395156564
Rep,3571,0.00039236834234648794
Off,3563,0.00039148933177836364
Wan,3558,0.00039093995017328595
fei,3554,0.0003905004448892238
wah,3549,0.0003899510632841461
Dru,3548,0.00038984118696313056
neh,3532,0.00038808316582688196
Mül,3532,0.00038808316582688196
Lös,3529,0.00038775353686383536
ind,3527,0.00038753378422180427
Bus,3520,0.0003867646499746955
Tit,3520,0.0003867646499746955
Kau,3504,0.0003850066288384469
Ran,3496,0.0003841276182703226
See,3484,0.0003828091024181361
spe,3481,0.0003824794734550895
Eig,3464,0.00038061157599782533
Gut,3454,0.00037951281278766994
Con,3443,0.00037830417325649903
spa,3432,0.0003770955337253281
ben,3429,0.00037676590476228147
Gle,3417,0.00037544738891009504
Fun,3416,0.0003753375125890795
prä,3415,0.00037522763626806396
Ele,3414,0.0003751177599470484
bea,3412,0.00037489800730501735
Wis,3411,0.0003747881309840018
Mes,3403,0.0003739091204158775
Waf,3398,0.0003733597388107998
von,3379,0.0003712720887115046
Mag,3370,0.0003702832018223647
Fla,3363,0.0003695140675752559
Tur,3356,0.0003687449333281472
Köl,3354,0.0003685251806861161
eur,3335,0.00036643753058682085
Bla,3320,0.00036478938577158776
wes,3314,0.00036413012784549455
Gri,3296,0.00036215235406721486
Erw,3295,0.00036204247774619935
Tan,3294,0.0003619326014251838
suc,3285,0.00036094371453604396
Bev,3267,0.00035896594075776427
höh,3260,0.0003581968065106555
gla,3236,0.00035555977480628253
obe,3235,0.000355449898485267
Mis,3229,0.0003547906405591738
Ern,3222,0.000354021506312065
Tür,3204,0.00035204373253378533
Nam,3202,0.00035182397989175424
Ana,3200,0.00035160422724972315
tri,3199,0.00035149435092870764
lin,3198,0.00035138447460769206
Ope,3198,0.00035138447460769206
Frü,3193,0.0003508350930026144
Tät,3176,0.00034896719554535025
Gan,3173,0.00034863756658230365
Leu,3173,0.00034863756658230365
ken,3167,0.0003479783086562104
Leh,3160,0.00034720917440910165
Fot,3156,0.0003467696691250395
Elt,3154,0.0003465499164830084
lag,3154,0.0003465499164830084
Dri,3150,0.00034611041119894626
Lic,3140,0.0003450116479887909
Por,3140,0.0003450116479887909
Mos,3137,0.00034468201902574427
Kün,3115,0.0003422647399634024
Sho,3113,0.0003420449873213713
Bur,3111,0.0003418252346793402
CDU,3106,0.00034127585307426253
Kas,3104,0.0003410561004322315
fan,3100,0.0003406165951481693
Brü,3095,0.0003400672135430916
Lig,3083,0.00033874869769090515
soz,3080,0.00033841906872785854
Bie,3079,0.000338309192406843
sof,3075,0.00033786968712278085
hel,3071,0.0003374301818387187
jew,3067,0.00033699067655465655
ged,3066,0.00033688080023364103
Soz,3046,0.00033468327381333025
bre,3043,0.00033435364485028365
dra,3043,0.00033435364485028365
Gäs,3036,0.00033358451060317486
dpa,3001,0.000329738839367631
Bod,2994,0.0003289697051205222
Umw,2991,0.0003286400761574756
dre,2989,0.0003284203235154445
Hab,2988,0.000328310447194429
Ker,2975,0.000326882055021227
Top,2966,0.00032589316813208714
Sor,2964,0.0003256734154900561
anz,2955,0.00032468452860091624
tat,2953,0.00032446477595888515
Org,2946,0.00032369564171177636
Mel,2941,0.0003231462601066987
Abg,2938,0.00032281663114365206
Dro,2937,0.00032270675482263655
Sil,2937,0.00032270675482263655
emp,2933,0.00032226724953857437
Haf,2906,0.00031930058887115486
Ess,2906,0.00031930058887115486
Nur,2899,0.0003185314546240461
bal,2885,0.00031699318612982857
Wla,2881,0.0003165536808457664
Bro,2878,0.0003162240518827198
mel,2876,0.0003160042992406887
Que,2876,0.0003160042992406887
Daz,2864,0.0003146857833885022
Umf,2858,0.000314026525462409
Sys,2852,0.0003133672675363158
Ris,2826,0.00031051048318991175
Rhe,2825,0.00031040060686889624
jün,2806,0.000308312956769601
Fas,2798,0.0003074339462014767
Uns,2791,0.00030666481195436795
hof,2789,0.00030644505931233686
sin,2787,0.00030622530667030577
dau,2786,0.00030611543034929025
abz,2782,0.0003056759250652281
sow,2778,0.0003052364197811659
käm,2770,0.0003043574092130416
weg,2769,0.0003042475328920261
Ung,2766,0.0003039179039289795
Din,2763,0.00030358827496593287
Feh,2760,0.0003032586460028862
Dir,2755,0.0003027092643978085
Ola,2752,0.0003023796354347619
Erl,2750,0.0003021598827927308
Yor,2748,0.0003019401301506998
häl,2740,0.0003010611195825755
Flo,2722,0.00029908334580429574
pla,2719,0.00029875371684124914
Dav,2718,0.0002986438405202336
Pap,2714,0.00029820433523617144
Ebe,2705,0.0002972154483470316
Max,2690,0.00029556730353179854
500,2688,0.00029534755088976745
Glü,2686,0.00029512779824773637
fah,2685,0.00029501792192672085
not,2679,0.00029435866400062764
Tab,2672,0.00029358952975351885
Opf,2672,0.00029358952975351885
Wag,2662,0.00029249076654336347
Ged,2658,0.0002920512612593013
grü,2643,0.0002904031164440682
Plä,2618,0.0002876562084186798
fun,2610,0.00028677719785055543
Ton,2608,0.0002865574452085244
red,2597,0.00028534880567735344
zer,2596,0.0002852389293563379
Inz,2592,0.00028479942407227574
nor,2586,0.00028414016614618253
Ank,2585,0.000284030289825167
Fei,2576,0.00028304140293602714
Zwi,2576,0.00028304140293602714
Onl,2576,0.00028304140293602714
Büh,2570,0.00028238214500993393
Urs,2569,0.00028227226868891836
ext,2562,0.00028150313444180963
bev,2558,0.00028106362915774746
dro,2556,0.00028084387651571637
häu,2548,0.00027996486594759207
För,2543,0.00027941548434251437
unv,2541,0.0002791957317004833
Anz,2534,0.00027842659745337455
Fis,2528,0.0002777673395272813
pri,2523,0.0002772179579222036
Twi,2518,0.0002766685763171259
Geo,2514,0.0002762290710330638
Hot,2514,0.0002762290710330638
Tim,2513,0.0002761191947120482
imm,2512,0.0002760093183910327
Zeu,2510,0.0002757895657490016
Jed,2508,0.0002755698131069705
Pen,2482,0.0002727130287605665
Web,2451,0.00026930686280908484
Jos,2447,0.00026886735752502266
zäh,2446,0.00026875748120400714
teu,2444,0.00026853772856197606
Kor,2444,0.00026853772856197606
una,2439,0.00026798834695689836
Tic,2438,0.00026787847063588284
tie,2438,0.00026787847063588284
läu,2435,0.00026754884167283624
umf,2426,0.00026655995478369637
Hän,2426,0.00026655995478369637
Phi,2422,0.00026612044949963424
199,2421,0.00026601057317861867
Noc,2420,0.00026590069685760316
Mom,2408,0.0002645821810054167
Kal,2400,0.0002637031704372924
Ach,2400,0.0002637031704372924
Hor,2386,0.0002621649019430748
paa,2381,0.0002616155203379971
Pub,2373,0.0002607365097698728
Dia,2373,0.0002607365097698728
Gal,2368,0.0002601871281647951
Cov,2356,0.0002588686123126087
Bef,2354,0.0002586488596705776
Pra,2351,0.000258319230707531
dag,2349,0.0002580994780654999
Eri,2344,0.0002575500964604222
